gender,eng,count,pr_fa,abjad,pr_en,origin,civil_registration_approved
پسر,arazm,101,آرزم,248,ārazm,فارسی,تایید شده
پسر,arsames,101,آرسامس,362,ārsāmes,فارسی,تایید شده
دختر,aray,101,آرای,212,ārāy,فارسی,تایید شده
دختر,artmiz,101,آرتميز,658,ārtmiz,لاتین,تایید شده
دختر,artimes,151,آرتيمس,711,ārtimes,یونانی,تایید شده
دختر,arnusha,477,آرنوشا,558,ārnušā,فارسی,تایید شده
دختر,aruna,101,آرونا,258,ārunā,فارسی,تایید شده
دختر,arisan,241,آريسان,322,ārisān,فارسی,تایید شده
دختر,arista,414,آريستا,672,āristā,فارسی,تایید شده
دختر,azade,67696,آزاده,18,āzāde,فارسی,تایید شده
دختر,asareh,314,آساره,267,āsāre,لری,تایید شده
دختر,asana,672,آسانا,113,āsānā,فارسی,تایید شده
دختر,asiye,116912,آسيه,76,āsiye,عربی,تایید شده
دختر,afarin,6289,آفرين,341,āfarin,فارسی,تایید شده
دختر,afarinesh,255,آفرينش,641,āfarineš,فارسی,تایید شده
دختر,amal,376,آمال,72,āmāl,عربی,تایید شده
دختر,amitida,243,آمی تيدا,466,āmitidā,فارسی,تایید شده
دختر,anali,800,آنالي,92,ānāli,ترکی,تایید شده
دختر,anahid,2668,آناهيد,71,ānāhid,اوستایی,تایید شده
دختر,anilar,101,آنیلار,292,ānilār,ترکی,تایید شده
دختر,avid,461,آويد,21,āvid,اوستایی,تایید شده
دختر,aya tay,101,آياتاي,423,āyā tāy,ترکی,تایید شده
دختر,aydis,184,آيديس,85,āydis,"ترکی , فارسی",تایید شده
پسر,atay,,آتای,412,atay,ترکی,نامشخص
پسر,atlan,,آتلان,482,atlan,ترکی,نامشخص
دختر,atina,,آتینا,462,atina,اوستایی,نامشخص
پسر,adam,,آدام,46,adam,عبری,نامشخص
دختر,artnos,,آرتنوس,717,artnos,فارسی,نامشخص
پسر,artian,,آرتیان,662,artian,فارسی,نامشخص
پسر,arzhin,,آرژین,261,arzhin,کردی,نامشخص
پسر,arka,,آرکا,222,arka,ترکی,نامشخص
پسر,arius,,آریوس,277,arius,کردی,نامشخص
دختر,alvina,,آلوینا,98,alvina,سانسکریت,نامشخص
پسر,ariusam,,آریوسام,318,ariusam,فارسی,نامشخص
پسر,azar,,آزر,208,azar,"عربی , عبری",نامشخص
پسر,avir,,آویر,217,avir,کردی,نامشخص
پسر,artima,,آرتیما,652,artima,کردی,نامشخص
دختر,ayshid,,آیشید,325,ayshid,"ترکی , فارسی",نامشخص
پسر,azhyar,,آژیار,219,azhyar,فارسی,نامشخص
پسر,adar,,آدار,206,adar,ترکی,نامشخص
پسر,adalan,,آدالان,87,adalan,ترکی,نامشخص
پسر,aday,,آدای,16,aday,ترکی,نامشخص
پسر,armand,125,آرمند,295,ārmand,فارسی,تایید شده
پسر,arang,101,آرنگ,271,ārang,فارسی,تایید شده
پسر,arvan,377,آروان,258,ārvān,لری,تایید شده
پسر,aryavash,101,آریاوش,518,āryāvaš,فارسی,تایید شده
پسر,arishan,101,آریشن,561,ārišan,کردی,تایید شده
دختر,aydina,257,آيدينا,76,āydinā,ترکی,تایید شده
دختر,ayriyana,101,آيريانا,273,āyriyānā,فارسی,تایید شده
دختر,abanmehr,,آبان مهر,299,amehr,فارسی,نامشخص
دختر,abtab,,آبتاب,406,abtab,فارسی,نامشخص
دختر,abdis,,آبدیس,77,abdis,فارسی,نامشخص
دختر,abrokh,,آبرخ,803,abrokh,فارسی,نامشخص
دختر,abrang,,آبرنگ,273,abrang,لری,نامشخص
دختر,abrud,,آبرود,213,abrud,فارسی,نامشخص
دختر,abroshan,,آبروشن,559,abroshan,فارسی,نامشخص
دختر,abrun,,آبرون,259,abrun,فارسی,نامشخص
دختر,absal,,آبسال,94,absal,فارسی,نامشخص
دختر,abgun,,آبگون,79,abgun,فارسی,نامشخص
دختر,arshit,,آرشیت,911,arshit,فارسی,نامشخص
دختر,ayza,,آیزا,19,ayza,فارسی,نامشخص
پسر,aytuna,,آیتونا,468,aytuna,"ترکی , فارسی",نامشخص
پسر,ail,,آئیل,51,ail,گیلکی,نامشخص
پسر,atyal,,آتیال,442,atyal,ترکی,نامشخص
پسر,ariyabod,171,آريابد,218,āriyābod,فارسی,تایید شده
پسر,ariya barzin,101,آريابرزين,481,ābarzin,فارسی,تایید شده
پسر,ariya rad,101,آرياراد,417,ārād,فارسی,تایید شده
پسر,ariyasp,101,آرياسپ,274,āriyāsp,فارسی,تایید شده
پسر,ariyak,101,آرياک,232,āriyāk,اوستایی,تایید شده
پسر,ariyan reza,101,آريان رضا,1263,ārezā,"فارسی , عربی",تایید شده
پسر,ariya nush,101,آريانوش,568,āriyā nuš,فارسی,تایید شده
پسر,ariyava,101,آرياوا,219,āriyāvā,فارسی,تایید شده
پسر,ariyan rad,101,آرينراد,466,āriyan rād,فارسی,تایید شده
پسر,ariyan mehr,223,آرينمهر,506,āriyan mehr,فارسی,تایید شده
پسر,azad mehr,101,آزادمهر,258,āmehr,فارسی,تایید شده
پسر,azarman,101,آزرمان,299,āzarmān,فارسی,تایید شده
پسر,azma,101,آزما,49,āzemā,فارسی,تایید شده
پسر,azmun,101,آزمون,104,āzemun,فارسی,تایید شده
پسر,azhand,101,آژند,55,āžand,فارسی,تایید شده
پسر,asad,101,آساد,66,āsād,عربی,تایید شده
پسر,asam,101,آسام,102,āsām,لری,تایید شده
پسر,astiyazh,101,آستياژ,472,āstiyāž,فارسی,تایید شده
پسر,asim,101,آسيم,111,āsim,پهلوی,تایید شده
پسر,ashnas,101,آشناس,412,āšenās,فارسی,تایید شده
پسر,ashur,669,آشور,507,āšur,فارسی,تایید شده
دختر,aysudeh,101,آيسوده,86,āysude,"ترکی , فارسی",تایید شده
دختر,ay sovan,195,آی سون,127,āy sovan,ترکی,تایید شده
دختر,ay sona,637,آی سونا,128,āy sonā,ترکی,تایید شده
دختر,ay shin,1004,آيشين,371,āy šin,ترکی,تایید شده
دختر,ay far,206,آيفر,291,āy far,"ترکی , فارسی",تایید شده
دختر,aygin,1355,آيگين,91,āygin,"ترکی , کردی , فارسی",تایید شده
دختر,ay lar,1722,آيلر,241,āy lar,ترکی,تایید شده
دختر,ay nar,295,آينار,262,āy nār,"ترکی , فارسی",تایید شده
دختر,ayeneh,1141,آينه,66,āyene,فارسی,تایید شده
دختر,ayineh,512,آيينه,76,"āyine , āine",فارسی,تایید شده
پسر,anag,,آناگ,72,anag,فارسی,نامشخص
دختر,anamehr,,آنامهر,297,amehr,"ترکی , فارسی",نامشخص
دختر,ananaz,,آناناز,110,ananaz,"ترکی , فارسی",نامشخص
دختر,angela,,آنجلا,85,angela,لاتین,نامشخص
دختر,anoheh,,آنوهه,67,anohe,یونانی,نامشخص
دختر,abnush,,آبنوش,359,abnush,فارسی,نامشخص
دختر,apadipa,,آپادیپا,21,apadipa,سانسکریت,نامشخص
دختر,apamneh,,آپامنه,99,apamne,فارسی,نامشخص
دختر,apgiya,,آپگیا,34,apgiya,سانسکریت,نامشخص
دختر,apgiti,,آپگیتی,443,apgiti,سانسکریت,نامشخص
دختر,atashdokht,,آتشدخت,1705,atashdokht,فارسی,نامشخص
دختر,atashfam,,آتشفام,822,atashfam,فارسی,نامشخص
دختر,atashak,,آتشک,721,atashak,فارسی,نامشخص
دختر,atashgon,,آتشگون,777,atashgon,فارسی,نامشخص
دختر,atlaz,,آتلاز,439,atlaz,ترکی,نامشخص
دختر,atenaya,,آتنایا,463,atenaya,یونانی,نامشخص
دختر,aturina,,آتورینا,668,aturina,فارسی,نامشخص
دختر,adorina,,آدورینا,272,adorina,فارسی,نامشخص
دختر,adisheh,,آدیشه,320,adishe,فارسی,نامشخص
دختر,azar,,آذار,902,azar,عربی,نامشخص
دختر,azar mah,,آذرماه,947,azar mah,فارسی,نامشخص
دختر,azar homayun,,آذرهمایون,1013,azar homayun,فارسی,نامشخص
دختر,azariyun,,آذریون,967,azariyun,فارسی,نامشخص
دختر,azin gol,,آذین گل,811,azin gol,فارسی,نامشخص
دختر,arsineh,,آرسینه,326,arsine,عبری,نامشخص
دختر,armindokht,,آرمین دخت,1305,armin dokht,فارسی,نامشخص
دختر,arizheh,,آریژه,216,arizhe,فارسی,نامشخص
دختر,arishida,,آریشیدا,526,arishida,فارسی,نامشخص
دختر,ariyan dokht,,آرین دخت,1265,ariyan dokht,فارسی,نامشخص
دختر,asahir,,آساهیر,277,asahir,"لری , فارسی",نامشخص
دختر,aski,,آسکی,91,aski,کردی,نامشخص
دختر,aurora,,آرورا,408,aurora,لاتین,نامشخص
دختر,atrusa,,آتروسا,668,atrusa,فارسی,نامشخص
دختر,ayrokh,,آیرخ,811,ay rokh,"ترکی , فارسی",نامشخص
پسر,ayhan,,آیحان,70,ayhan,ترکی,نامشخص
پسر,ayish,,آییش,321,ayish,اوستایی,نامشخص
پسر,atayar,,آتایار,613,atayar,ترکی,نامشخص
دختر,algon,,آلگون,107,algon,کردی,نامشخص
پسر,ashok,101,آشوک,327,āšok,هندی,تایید شده
پسر,agah,101,آگاه,27,āgāh,فارسی,تایید شده
پسر,alpay,269,آلپای,44,ālpāy,ترکی,تایید شده
پسر,aman,101,آمن,91,āman,عربی,تایید شده
پسر,anush,145,آنوش,357,ānuš,ارمنی,تایید شده
پسر,avand,101,آوند,61,āvand,فارسی,تایید شده
پسر,ayat,6365,آيت,411,āyat,عربی,تایید شده
دختر,aban dokht,101,آبان دخت,1058,ābān doxt,فارسی,تایید شده
دختر,abana,101,آبانا,55,ābānā,فارسی,تایید شده
دختر,abgin,101,آبگين,83,ābgin,فارسی,تایید شده
دختر,abgine,101,آبگينه,88,ābgine,فارسی,تایید شده
دختر,abnus,297,آبنوس,119,ābnus,"عبری , یونانی",تایید شده
دختر,abin,101,آبين,63,ābin,فارسی,تایید شده
دختر,abine,101,آبينه,68,ābine,فارسی,تایید شده
دختر,apam,101,آپام,44,āpām,"فارسی , اوستایی",تایید شده
دختر,apama,101,آپاما,45,āpāmā,فارسی,تایید شده
دختر,apameh,172,آپامه,49,āpāme,اوستایی,تایید شده
دختر,atasha,101,آتاشا,703,ātāšā,"ترکی , فارسی",تایید شده
دختر,atra,260,آترا,602,ātrā,فارسی,تایید شده
دختر,atri,101,آتري,611,ātri,فارسی,تایید شده
دختر,atri zad,101,آتريزاد,623,āzād,فارسی,تایید شده
پسر,avgan,,آوگان,78,avgan,فارسی,نامشخص
دختر,avideh,,آویده,26,avide,فارسی,نامشخص
دختر,akasha,,آکاشا,323,akasha,لاتین,نامشخص
پسر,alma gol,,آلماگل,122,alma gol,"فارسی , ترکی",نامشخص
دختر,aseman hor,,آسمان هور,363,aseman hor,فارسی,نامشخص
دختر,asoda,,آسودا,72,asoda,فارسی,نامشخص
دختر,asiman,,آسیمن,161,asiman,"پهلوی , اوستایی",نامشخص
دختر,asha,,آشا,302,asha,فارسی,نامشخص
دختر,ashurina,,آشورینا,568,ashurina,فارسی,نامشخص
دختر,agha banu,,آغابانو,1061,agha banu,"فارسی , مغولی",نامشخص
دختر,aghosh,,آغوش,1307,aghosh,فارسی,نامشخص
دختر,aftab dokht,,آفتاب دخت,1488,aftab dokht,فارسی,نامشخص
دختر,afarin mah,,آفرین ماه,387,amah,فارسی,نامشخص
دختر,afarin mehr,,آفرین مهر,586,amehr,فارسی,نامشخص
دختر,afarinnaz,,آفرین ناز,399,afarinnaz,فارسی,نامشخص
دختر,afarinnush,,آفرین نوش,697,afarinnush,فارسی,نامشخص
دختر,aghbano,,آق بانو,160,aghbano,"ترکی , فارسی",نامشخص
دختر,aghgol,,آق گل,151,aghgol,"ترکی , فارسی",نامشخص
دختر,aghahdokht,,آگاه دخت,1031,aghahdokht,فارسی,نامشخص
دختر,ala gol,,آلاگل,82,ala gol,,نامشخص
دختر,alave,,آلاوه,43,alave,فارسی,نامشخص
دختر,altun,,آلتون,487,altun,ترکی,نامشخص
